CSAFP,CBSAFP,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
466,40300,40300,310M700US40300,"Rochelle, IL","Rochelle, IL Micro Area",M2,2,G3110,1964903749,12378958,+42.0418840,-089.3201764,1977.5107302226832,0.1
462,40340,40340,310M700US40340,"Rochester, MN","Rochester, MN Metro Area",M1,1,G3110,6415844472,74935776,+43.9498104,-092.3306605,6515.005702280918,0.1
464,40380,40380,310M700US40380,"Rochester, NY","Rochester, NY Metro Area",M1,1,G3110,7582879825,5030128106,+43.1847180,-077.5565575,12787.077642216665,0.1
466,40420,40420,310M700US40420,"Rockford, IL","Rockford, IL Metro Area",M1,1,G3110,2055929652,19212148,+42.3311830,-089.0429139,2074.9405670764445,0.1
246,40460,40460,310M700US40460,"Rockingham, NC","Rockingham, NC Micro Area",M2,2,G3110,1226849527,15575098,+35.0046360,-079.7556946,1254.9115225564858,0.1
,40540,40540,310M700US40540,"Rock Springs, WY","Rock Springs, WY Micro Area",M2,2,G3110,27005754375,166230249,+41.6603282,-108.8756774,29442.7788178222,0.1
468,40580,40580,310M700US40580,"Rocky Mount, NC","Rocky Mount, NC Metro Area",M1,1,G3110,2708816801,9880964,+35.9410455,-077.7985494,2763.0661229375323,0.1
,40620,40620,310M700US40620,"Rolla, MO","Rolla, MO Micro Area",M2,2,G3110,1739921375,6564700,+37.8663263,-091.7903492,1752.7518055443406,0.1
122,40660,40660,310M700US40660,"Rome, GA","Rome, GA Metro Area",M1,1,G3110,1320461793,22356808,+34.2636901,-085.2136849,1342.6427374725758,0.1
,40700,40700,310M700US40700,"Roseburg, OR","Roseburg, OR Micro Area",M2,2,G3110,13042340043,251960048,+43.2863277,-123.1544760,16300.428405645707,0.1
,40740,40740,310M700US40740,"Roswell, NM","Roswell, NM Micro Area",M2,2,G3110,15713917209,20469858,+33.3616045,-104.4698374,16782.297516157316,0.1
