STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
13,045,90552,01936159,1304590552,0600000US1304590552,Carrollton,Carrollton CCD,22,Z5,G4040,S,329055404,4113425,+33.5848043,-085.0341340,333.17640113241237,0.1
13,199,91368,01936298,1319991368,0600000US1319991368,Greenville,Greenville CCD,22,Z5,G4040,S,290515034,1684044,+33.0371527,-084.7346703,292.28763491352515,0.1
13,199,93246,01936625,1319993246,0600000US1319993246,Warm Springs,Warm Springs CCD,22,Z5,G4040,S,229304475,1754418,+32.9129904,-084.7505410,231.12471902836052,0.1
13,199,91266,01936281,1319991266,0600000US1319991266,Gay,Gay CCD,22,Z5,G4040,S,270570647,3361457,+33.1504032,-084.5933593,274.05408754774874,0.1
13,199,93414,01936654,1319993414,0600000US1319993414,Woodbury,Woodbury CCD,22,Z5,G4040,S,113077689,2065943,+32.9907954,-084.5964172,115.19452121972111,0.1
13,199,91854,01936380,1319991854,0600000US1319991854,Luthersville,Luthersville CCD,22,Z5,G4040,S,244380018,549819,+33.1561500,-084.7865225,244.99359592918825,0.1
13,075,91722,01936357,1307591722,0600000US1307591722,Lenox,Lenox CCD,22,Z5,G4040,S,135641858,3145280,+31.2605790,-083.4413988,139.07067625174395,0.1
13,173,91010,01936241,1317391010,0600000US1317391010,East Lanier,East Lanier CCD,22,Z5,G4040,S,233337347,2796056,+31.0366165,-083.0025834,236.79210393192315,0.1
13,047,91230,01936275,1304791230,0600000US1304791230,Fort Oglethorpe-Lakeview,Fort Oglethorpe-Lakeview CCD,22,Z5,G4040,S,45941694,32573,+34.9472059,-085.2397550,45.966791839754826,0.1
13,045,92592,01936510,1304592592,0600000US1304592592,Roopville,Roopville CCD,22,Z5,G4040,S,129999199,1945614,+33.4592669,-085.1017683,131.94100016853702,0.1
13,079,92544,01936501,1307992544,0600000US1307992544,Roberta,Roberta CCD,22,Z5,G4040,S,387012421,1459048,+32.7611127,-084.0540789,388.88845107986646,0.1
13,105,90354,01936125,1310590354,0600000US1310590354,Bowman,Bowman CCD,22,Z5,G4040,S,139489256,1460800,+34.1850585,-083.0181125,141.30672830572476,0.1
13,163,93228,01936622,1316393228,0600000US1316393228,Wadley,Wadley CCD,22,Z5,G4040,S,265419160,2445670,+32.8627836,-082.4257747,268.8627107721536,0.1
13,275,90780,01936199,1327590780,0600000US1327590780,Coolidge,Coolidge CCD,22,Z5,G4040,S,142988182,1962419,+30.9826875,-083.8778142,145.15263076846603,0.1
13,275,92328,01936463,1327592328,0600000US1327592328,Pavo-Barwick,Pavo-Barwick CCD,22,Z5,G4040,S,176767330,1977230,+30.9401436,-083.7802492,179.01799533142977,0.1
13,087,90156,01936091,1308790156,0600000US1308790156,Attapulgus,Attapulgus CCD,22,Z5,G4040,S,233928127,629909,+30.7529054,-084.4779499,234.70799118304237,0.1
13,087,90390,01936131,1308790390,0600000US1308790390,Brinson,Brinson CCD,22,Z5,G4040,S,442402276,36414959,+30.9466692,-084.6713592,479.0163110707059,0.1
13,235,91170,01936265,1323591170,0600000US1323591170,Finleyson,Finleyson CCD,22,Z5,G4040,S,258362146,1093558,+32.1846029,-083.5148665,259.9399680946311,0.1
13,253,90966,01936230,1325390966,0600000US1325390966,Donalsonville,Donalsonville CCD,22,Z5,G4040,S,311740648,15688053,+30.8967390,-084.8046295,327.51853156379343,0.1
13,077,92070,01936417,1307792070,0600000US1307792070,Moreland,Moreland CCD,22,Z5,G4040,S,118817951,1028342,+33.2715077,-084.7407314,119.8810201126742,0.1
13,299,90954,01936228,1329990954,0600000US1329990954,Dixie Union,Dixie Union CCD,22,Z5,G4040,S,348796508,2713949,+31.3632040,-082.5281186,352.8012303262103,0.1
13,299,91914,01936390,1329991914,0600000US1329991914,Manor,Manor CCD,22,Z5,G4040,S,1026546359,7589453,+30.7397330,-082.3269619,1038.2708165512988,0.1
13,155,91560,01936330,1315591560,0600000US1315591560,Irwinville,Irwinville CCD,22,Z5,G4040,S,304676561,8128228,+31.6467986,-083.4062731,313.44955177333645,0.1
13,277,93036,01936588,1327793036,0600000US1327793036,Tifton,Tifton CCD,22,Z5,G4040,S,75631884,1548574,+31.4639075,-083.5188535,77.32722622918007,0.1
13,277,90660,01936178,1327790660,0600000US1327790660,Chula,Chula CCD,22,Z5,G4040,S,157279863,6013807,+31.5485029,-083.5663293,163.59398264572246,0.1
13,201,90246,01936106,1320190246,0600000US1320190246,Bellview,Bellview CCD,22,Z5,G4040,S,233709355,1714107,+31.1657895,-084.6021252,235.53839637604406,0.1
13,027,90948,01936227,1302790948,0600000US1302790948,Dixie,Dixie CCD,22,Z5,G4040,S,228649819,866333,+30.7479508,-083.6829847,229.90427203300325,0.1
13,027,92088,01936420,1302792088,0600000US1302792088,Morven,Morven CCD,22,Z5,G4040,S,236935633,2929858,+30.9051465,-083.4910013,240.33754850966253,0.1
13,063,90726,01936190,1306390726,0600000US1306390726,College Park,College Park CCD,22,Z5,G4040,S,30604604,126025,+33.6222339,-084.4310741,30.749170396675723,0.5632803249041431
13,063,92538,01936500,1306392538,0600000US1306392538,Riverdale,Riverdale CCD,22,Z5,G4040,S,64620549,504118,+33.5522420,-084.4129728,65.16517621939562,0.1
13,231,93384,01936649,1323193384,0600000US1323193384,Williamson,Williamson CCD,22,Z5,G4040,S,111025324,1483231,+33.1582567,-084.4394892,112.576907985334,0.1
13,231,90768,01936197,1323190768,0600000US1323190768,Concord-Molena,Concord-Molena CCD,22,Z5,G4040,S,172790184,2403754,+33.0538895,-084.4662034,175.2963144098183,0.1
13,231,93474,01936664,1323193474,0600000US1323193474,Zebulon,Zebulon CCD,22,Z5,G4040,S,168932874,3063572,+33.1280391,-084.3142412,172.1242037276229,0.1
13,003,90180,01936095,1300390180,0600000US1300390180,Axson,Axson CCD,22,Z5,G4040,S,229826010,1795115,+31.2906602,-082.7163557,232.38538621945816,0.1
13,091,90630,01936173,1309190630,0600000US1309190630,Chauncey,Chauncey CCD,22,Z5,G4040,S,243271901,1974007,+32.1191157,-083.0292660,245.89668850624585,0.1
13,091,92496,01936492,1309192496,0600000US1309192496,Rhine,Rhine CCD,22,Z5,G4040,S,344556929,5739083,+32.0276992,-083.2118163,351.12189118117334,0.1
