"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13121010507","Census Tract 105.07, Fulton County, Georgia","711","7107",
"1400000US13121010508","Census Tract 105.08, Fulton County, Georgia","412","3024",
"1400000US13121010510","Census Tract 105.10, Fulton County, Georgia","906","14081",
"1400000US13121010511","Census Tract 105.11, Fulton County, Georgia","1291","8339",
"1400000US13121010512","Census Tract 105.12, Fulton County, Georgia","590","5875",
"1400000US13121010513","Census Tract 105.13, Fulton County, Georgia","970","12884",
"1400000US13121010514","Census Tract 105.14, Fulton County, Georgia","742","9601",
"1400000US13121010515","Census Tract 105.15, Fulton County, Georgia","491","4344",
"1400000US13121010516","Census Tract 105.16, Fulton County, Georgia","666","7033",
"1400000US13121010601","Census Tract 106.01, Fulton County, Georgia","646","3696",
"1400000US13121010603","Census Tract 106.03, Fulton County, Georgia","549","3005",
"1400000US13121010604","Census Tract 106.04, Fulton County, Georgia","588","4030",
"1400000US13121010800","Census Tract 108, Fulton County, Georgia","21","6240",
"1400000US13121011000","Census Tract 110, Fulton County, Georgia","517","4132",
"1400000US13121011100","Census Tract 111, Fulton County, Georgia","278","2191",
"1400000US13121011201","Census Tract 112.01, Fulton County, Georgia","614","3647",
"1400000US13121011202","Census Tract 112.02, Fulton County, Georgia","627","5197",
"1400000US13121011301","Census Tract 113.01, Fulton County, Georgia","551","5464",
"1400000US13121011303","Census Tract 113.03, Fulton County, Georgia","693","7362",
"1400000US13121011305","Census Tract 113.05, Fulton County, Georgia","758","4196",
"1400000US13121011306","Census Tract 113.06, Fulton County, Georgia","448","2926",
"1400000US13121011405","Census Tract 114.05, Fulton County, Georgia","723","7279",
"1400000US13121011410","Census Tract 114.10, Fulton County, Georgia","609","7121",
"1400000US13121011411","Census Tract 114.11, Fulton County, Georgia","460","6152",
"1400000US13121011412","Census Tract 114.12, Fulton County, Georgia","514","7809",
"1400000US13121011414","Census Tract 114.14, Fulton County, Georgia","558","7548",
"1400000US13121011416","Census Tract 114.16, Fulton County, Georgia","327","5123",
"1400000US13121011417","Census Tract 114.17, Fulton County, Georgia","261","3878",
"1400000US13121011418","Census Tract 114.18, Fulton County, Georgia","367","5924",
"1400000US13121011419","Census Tract 114.19, Fulton County, Georgia","379","4754",
"1400000US13121011420","Census Tract 114.20, Fulton County, Georgia","886","7276",
"1400000US13121011421","Census Tract 114.21, Fulton County, Georgia","459","3720",
"1400000US13121011422","Census Tract 114.22, Fulton County, Georgia","446","3755",
"1400000US13121011423","Census Tract 114.23, Fulton County, Georgia","348","4660",
"1400000US13121011424","Census Tract 114.24, Fulton County, Georgia","393","4912",
"1400000US13121011425","Census Tract 114.25, Fulton County, Georgia","328","6716",
"1400000US13121011426","Census Tract 114.26, Fulton County, Georgia","261","2305",
"1400000US13121011427","Census Tract 114.27, Fulton County, Georgia","682","6799",
"1400000US13121011503","Census Tract 115.03, Fulton County, Georgia","436","8464",
"1400000US13121011504","Census Tract 115.04, Fulton County, Georgia","659","10831",
"1400000US13121011505","Census Tract 115.05, Fulton County, Georgia","196","4254",
"1400000US13121011506","Census Tract 115.06, Fulton County, Georgia","330","6178",
"1400000US13121011610","Census Tract 116.10, Fulton County, Georgia","307","5289",
"1400000US13121011611","Census Tract 116.11, Fulton County, Georgia","661","6396",
"1400000US13121011612","Census Tract 116.12, Fulton County, Georgia","322","3185",
"1400000US13121011613","Census Tract 116.13, Fulton County, Georgia","734","5708",
"1400000US13121011614","Census Tract 116.14, Fulton County, Georgia","578","11526",
"1400000US13121011615","Census Tract 116.15, Fulton County, Georgia","527","8570",
"1400000US13121011616","Census Tract 116.16, Fulton County, Georgia","579","4650",
"1400000US13121011617","Census Tract 116.17, Fulton County, Georgia","390","6842",
"1400000US13121011618","Census Tract 116.18, Fulton County, Georgia","289","4026",
"1400000US13121011619","Census Tract 116.19, Fulton County, Georgia","544","6419",
"1400000US13121011620","Census Tract 116.20, Fulton County, Georgia","526","9664",
"1400000US13121011621","Census Tract 116.21, Fulton County, Georgia","425","6382",
"1400000US13121011622","Census Tract 116.22, Fulton County, Georgia","495","9381",
"1400000US13121011623","Census Tract 116.23, Fulton County, Georgia","587","10931",
"1400000US13121011624","Census Tract 116.24, Fulton County, Georgia","207","4254",
"1400000US13121011625","Census Tract 116.25, Fulton County, Georgia","595","7155",
"1400000US13121011626","Census Tract 116.26, Fulton County, Georgia","480","6819",
"1400000US13121011800","Census Tract 118, Fulton County, Georgia","733","3198",
"1400000US13121011900","Census Tract 119, Fulton County, Georgia","402","1814",
"1400000US13121012000","Census Tract 120, Fulton County, Georgia","384","2618",
"1400000US13121012300","Census Tract 123, Fulton County, Georgia","371","2316",
"1400000US13121980000","Census Tract 9800, Fulton County, Georgia","132","0",
